sentence_idx,sentence_uid,sentence_text,citation_function,citation_functions,needs_citation,justification,rank,paper_id,title,year,authors,abstract,normalized_score,title_matches,abs_matches,retrieval_error,retrieved_at
1,blk1|si1,"The study compares these methods to existing approaches, such as those employing Ricci flow and heat kernel techniques, to provide a comprehensive analysis of their relative strengths and limitations in deriving geometric and analytic inequalities.",compares,['Compares'],True,This sentence was generated to fulfill the 'Compares' citation function.,0,gr-qc/0101125,Diagrams for heat kernel expansions,2001,Ian G MossWade Naylor,"A diagramatic heat kernel expansion technique is presented. The method is
especially well suited to the small-derivative expansion of the heat kernel,
but it can also be used to reproduce the results obtained by the approach known
as covariant perturbation theory. The new technique gives an expansion for the
heat kernel at coincident points. It can also be used to obtain the derivative
of the heat kernel and this is useful for evaluating the…",0.8246236443519592,"heat, kernel","heat, kernel",,2025-09-06T18:42:14.471697
1,blk1|si1,"The study compares these methods to existing approaches, such as those employing Ricci flow and heat kernel techniques, to provide a comprehensive analysis of their relative strengths and limitations in deriving geometric and analytic inequalities.",compares,['Compares'],True,This sentence was generated to fulfill the 'Compares' citation function.,1,math/0101111,"Eigenvalue estimates for the Dirac-Schr\""odinger operators",2001,Bertrand Morel,"We give new estimates for the eigenvalues of the hypersurface Dirac operator
in terms of the intrinsic energy-momentum tensor, the mean curvature and the
scalar curvature. We also discuss their limiting cases as well as the limiting
cases of the estimates obtained by X. Zhang and O. Hijazi in [13] and [10]. We
compare these limiting cases with those corresponding to the Friedrich and
Hijazi inequalities. We conclude by comparing these results to…",0.811663031578064,,inequalities,,2025-09-06T18:42:14.471697
1,blk1|si1,"The study compares these methods to existing approaches, such as those employing Ricci flow and heat kernel techniques, to provide a comprehensive analysis of their relative strengths and limitations in deriving geometric and analytic inequalities.",compares,['Compares'],True,This sentence was generated to fulfill the 'Compares' citation function.,2,hep-ph/0104201,On e+e- --> W+W- --> 4f(+gamma) at LEP2,2001,Yoshimasa KuriharaMasaaki KurodaDieter Schildknecht,"The results on e+e- --> W+W- --> 4f(+gamma) obtained by different groups are
compared with each other. Differences in the results for the total cross
section of up to about 0.6% are traced back to different ways of implementing
the double-pole approximation.",0.8085941076278687,,,,2025-09-06T18:42:14.471697
1,blk1|si1,"The study compares these methods to existing approaches, such as those employing Ricci flow and heat kernel techniques, to provide a comprehensive analysis of their relative strengths and limitations in deriving geometric and analytic inequalities.",compares,['Compares'],True,This sentence was generated to fulfill the 'Compares' citation function.,3,cond-mat/0102101,Thermodynamic Properties of the Dimerised and Frustrated S=1/2 Chain,2001,Alexander BühlerUte LöwGötz S. Uhrig,"By high temperature series expansion, exact diagonalisation and temperature
density-matrix renormalisation the magnetic susceptibility $\chi(T)$ and the
specific heat $C(T)$ of dimerised and frustrated $S=1/2$ chains are computed.
All three methods yield reliable results, in particular for not too small
temperatures or not too small gaps. The series expansion results are provided
in the form of polynomials allowing very fast and convenient fits…",0.8076890110969543,,"analysis, heat",,2025-09-06T18:42:14.471697
1,blk1|si1,"The study compares these methods to existing approaches, such as those employing Ricci flow and heat kernel techniques, to provide a comprehensive analysis of their relative strengths and limitations in deriving geometric and analytic inequalities.",compares,['Compares'],True,This sentence was generated to fulfill the 'Compares' citation function.,4,astro-ph/0102329,"Generalized Fermi-Dirac Functions and Derivatives: Properties and
  Evaluation",2001,Zhigang GongLadislav ZejdaWerner DappenJosep M. Aparicio,"The generalized Fermi-Dirac functions and their derivatives are important in
evaluating the thermodynamic quantities of partially degenerate electrons in
hot dense stellar plasmas. New recursion relations of the generalized
Fermi-Dirac functions have been found. An effective numerical method to
evaluate the derivatives of the generalized Fermi-Dirac functions up to third
order with respect to both degeneracy and temperature is then…",0.8068267703056335,,analytic,,2025-09-06T18:42:14.471697
1,blk1|si1,"The study compares these methods to existing approaches, such as those employing Ricci flow and heat kernel techniques, to provide a comprehensive analysis of their relative strengths and limitations in deriving geometric and analytic inequalities.",compares,['Compares'],True,This sentence was generated to fulfill the 'Compares' citation function.,5,math/0102219,"Tracking eigenvalues to the frontier of moduli space I: Convergence and
  spectral accumulation",2001,Chris Judge,"We study the limiting behavior of eigenfunctions/eigenvalues of the Laplacian
of a family of Riemannian metrics that degenerates on a hypersurface. Our
results generalize earlier work concerning the degeneration of hyperbolic
surfaces.",0.804970383644104,,,,2025-09-06T18:42:14.471697
1,blk1|si1,"The study compares these methods to existing approaches, such as those employing Ricci flow and heat kernel techniques, to provide a comprehensive analysis of their relative strengths and limitations in deriving geometric and analytic inequalities.",compares,['Compares'],True,This sentence was generated to fulfill the 'Compares' citation function.,6,math/0103013,"Algorithmic Determination of the Rational Cohomology of Complex
  Varieties via Differential Forms",2001,Uli Walther,"We give algorithms for the computation of the algebraic de Rham cohomology of
open and closed algebraic sets inside projective space or other smooth complex
toric varieties. The methods, which are based on Gr\""obner basis computations
in rings of differential operators, can also be used to compute the cohomology
of intersections of smooth closed and open subsets, and in certain situations
the cup-product structure.
  We give some examples which…",0.8037642240524292,,,,2025-09-06T18:42:14.471697
1,blk1|si1,"The study compares these methods to existing approaches, such as those employing Ricci flow and heat kernel techniques, to provide a comprehensive analysis of their relative strengths and limitations in deriving geometric and analytic inequalities.",compares,['Compares'],True,This sentence was generated to fulfill the 'Compares' citation function.,7,math/0104055,Symmetry group analysis of weak solutions,2001,N. DapicM. KunzingerS. Pilipovic,"Methods of Lie group analysis of differential equations are extended to weak
solutions of (linear and nonlinear) PDEs, where the term ``weak solution''
comprises the following settings:
  (a) Distributional solutions. (b) Solutions in generalized function algebras.
(c) Solutions in the sense of association (corresponding to a number of weak or
integral solution concepts in classical analysis).
  Factorization properties and infinitesimal…",0.8037080764770508,analysis,analysis,,2025-09-06T18:42:14.471697
1,blk1|si1,"The study compares these methods to existing approaches, such as those employing Ricci flow and heat kernel techniques, to provide a comprehensive analysis of their relative strengths and limitations in deriving geometric and analytic inequalities.",compares,['Compares'],True,This sentence was generated to fulfill the 'Compares' citation function.,8,math/0103149,"On a functional-difference equation of Runyon, Morrison, Carlitz, and
  Riordan",2001,Helmut Prodinger,"A certain functional-difference equation that Runyon encountered when
analyzing a queuing system was solved in a combined effort of Morrison,
Carlitz, and Riordan. We simplify that analysis by exclusively using generating
functions, in particular the kernel method, and the Lagrange inversion formula.",0.8027786016464233,,"analysis, kernel",,2025-09-06T18:42:14.471697
1,blk1|si1,"The study compares these methods to existing approaches, such as those employing Ricci flow and heat kernel techniques, to provide a comprehensive analysis of their relative strengths and limitations in deriving geometric and analytic inequalities.",compares,['Compares'],True,This sentence was generated to fulfill the 'Compares' citation function.,9,hep-th/0103037,Multiple reflection expansion and heat kernel coefficients,2001,M. BordagD. VassilevichH. FalomirE. M. Santangelo,"We propose the multiple reflection expansion as a tool for the calculation of
heat kernel coefficients. As an example, we give the coefficients for a sphere
as a finite sum over reflections, obtaining as a byproduct a relation between
the coefficients for Dirichlet and Neumann boundary conditions. Further, we
calculate the heat kernel coefficients for the most general matching conditions
on the surface of a sphere, including those cases…",0.8024246692657471,"heat, kernel","heat, kernel",,2025-09-06T18:42:14.471697
